fileName,Roll,Year,Month,Day,Location,Latitude,Longitude,Altitude,pid_tn,pid_jpeg,pid_tiff,fiducial_proxy_type,focal_length
AP67V2_329,,,,,,,,unknown,,urn:uuid:75b76660-3d64-4bbb-9bbe-c85fe456f6fb,urn:uuid:5b29e4ab-4144-4d67-b70a-9720f2308a8c,,
AP67V2_330,,,,,,,,unknown,,urn:uuid:ac6de087-5bb7-436e-a6db-7abbc92b8333,urn:uuid:455637d6-c9f7-4f2e-8280-6eb5ac039c84,,
AP67V2_331,,,,,,,,unknown,,urn:uuid:154e7e5e-e41c-4795-9a8f-731a052030f0,urn:uuid:c4f917d6-d1a0-48ba-97e6-78cfe154cea3,,
AP67V2_332,,,,,,,,unknown,,urn:uuid:408218a8-5505-4bda-8195-6facb4262aaf,urn:uuid:097c4966-15af-4a33-902c-4be7b28514fc,,
AP67V2_333,,,,,,,,unknown,,urn:uuid:2de69d82-b7f6-4199-8556-91b6f727b60d,urn:uuid:792ffd40-eadc-4c0e-9a0e-2056dc138b0a,,
AP67V2_334,,,,,,,,unknown,,urn:uuid:7b0d1a82-fa42-419a-87c6-22261b269d85,urn:uuid:154f88b2-1b5c-43c4-af46-8f5fbf290b49,,
AP67V2_335,,,,,,,,unknown,,urn:uuid:645d1c4d-2c42-4f75-9bc9-d115b33341b5,urn:uuid:1665e9eb-c093-44a5-a4e5-8f6cc3084c61,,
AP67V2_336,,,,,,,,unknown,,urn:uuid:b39cd83c-900d-4410-b493-0ddbc2dcf730,urn:uuid:d55223bd-3b56-43d8-ba0e-5e1d3dd1220a,,
AP67V2_337,,,,,,,,unknown,,urn:uuid:b4309184-0d3f-414a-9730-096296c00827,urn:uuid:c3b4536f-f326-426d-8524-855cecd09ff9,,
AP67V2_338,,,,,,,,unknown,,urn:uuid:10788dcf-f15e-41fe-aff6-740aeecd13f1,urn:uuid:13dbaa4f-5f6d-4aee-aa3a-728affc0394c,,
AP67V2_339,,,,,,,,unknown,,urn:uuid:8c548c92-06bb-414d-948d-b111650fda3b,urn:uuid:7cae9f08-940d-467f-91ae-b6a7960742b3,,
AP67V2_340,,,,,,,,unknown,,urn:uuid:0385c210-5129-45aa-b45b-42cedbaaae7f,urn:uuid:ed776a0e-7ddf-4637-bc3e-8299022b87da,,
AP67V2_341,,,,,,,,unknown,,urn:uuid:948c26bb-eaa6-4963-928a-8449e78f5ea6,urn:uuid:ff366d39-f7cf-42e3-b8d4-039480f54d4b,,
AP67V2_342,,,,,,,,unknown,,urn:uuid:7b098207-f751-426a-a9eb-c7dd2717715d,urn:uuid:b5decb90-79d7-453d-b13f-d8b12f9116e7,,
AP67V2_343,,,,,,,,unknown,,urn:uuid:974ddd63-a9a0-4456-b286-e45c5dc41069,urn:uuid:bdf9d647-a238-4640-bacb-0652fa3a4d39,,
AP67V2_344,,,,,,,,unknown,,urn:uuid:0f74e906-3806-496f-aae6-ef8912fc2abb,urn:uuid:4147d902-3391-4f22-b407-4f3a59974abd,,
AP67V2_345,,,,,,,,unknown,,urn:uuid:7c866bdc-e5ee-41ad-8b05-a2259a1761b5,urn:uuid:5592800a-2741-4adf-bbba-2d60488f1696,,
AP67V2_346,,,,,,,,unknown,,urn:uuid:ea0c5797-ff09-4c89-98f0-bb49a0bc9316,urn:uuid:0a7eb927-4dd3-42dd-b2c3-b35b5fdf9560,,
AP67V2_347,,,,,,,,unknown,,urn:uuid:22968809-8796-4405-8a38-6a0a3765991a,urn:uuid:126e7bff-c15a-4caa-87dc-386e51b0b7c1,,
AP67V2_348,,,,,,,,unknown,,urn:uuid:c5fc5d7f-5cdd-4aa7-b893-1789dfb74814,urn:uuid:8f267ea9-4997-479d-8c39-1a891c2dd808,,
AP67V2_349,,,,,,,,unknown,,urn:uuid:a8200817-60d3-4cd8-b84a-b2fbd5a5b3fb,urn:uuid:62a697c4-161b-4746-a475-75a3c37155f2,,
AP67V2_350,,,,,,,,unknown,,urn:uuid:9d1a92e5-7976-436f-8594-c270623a9f3a,urn:uuid:9b73617f-1022-4c93-aadd-d8d08c8e4d16,,
AP67V2_351,,,,,,,,unknown,,urn:uuid:0d3748de-12f4-4ff2-be08-6cdb9ab82d6d,urn:uuid:d7083f9d-bcc8-45fb-869c-c2f300e572cf,,
AP67V2_352,,,,,,,,unknown,,urn:uuid:acd3e647-4bc9-47fb-a139-85be16796f7e,urn:uuid:7a8e6c9d-70cd-46c4-99a7-81c5df2c3d7a,,
AP67V2_353,,,,,,,,unknown,,urn:uuid:c487a123-d00d-4c4e-8be1-a3cdde321b4e,urn:uuid:57447a5b-5832-4d7b-8aca-297cc40cba06,,
AP67V2_354,,,,,,,,unknown,,urn:uuid:69a046e1-4a30-486f-b43e-5996c011df6b,urn:uuid:9a52a163-26d6-45a5-be84-49597f5e0e77,,
AP67V2_355,,,,,,,,unknown,,urn:uuid:5598b241-8c73-49b1-a35b-d8c276eb1844,urn:uuid:a9176828-5d81-4bf5-a8e4-f6bf851cf1d3,,
AP67V2_356,,,,,,,,unknown,,urn:uuid:01fdb09a-eb3c-46dd-8c78-70ab32a28a54,urn:uuid:0c3f4e66-3833-47b7-9fd6-a67ffd2fce5a,,
AP67V2_357,,,,,,,,unknown,,urn:uuid:2f849057-ddfb-4c7d-8d02-b3a009cb59f2,urn:uuid:b2dccc0b-cd6e-4bae-9961-b5beaa8b24a5,,
